465 370
515 370
565 370
715 370
765 370
115 520
315 520
365 520
965 520
1015 520
1065 520
1115 520
1215 520
15 220
65 220
115 220
165 220
215 220
265 220
315 220
915 220
965 220
1015 220
1065 220
1115 220
-100 0
-100 820
1370 0
465 370 50 50
515 370 50 50
565 370 50 50
615 370 50 50
665 370 50 50
15 520 50 50
65 520 50 50
165 520 50 50
265 520 50 50
315 520 50 50
865 520 50 50
915 520 50 50
965 520 50 50
1015 520 50 50
1065 520 50 50
1115 520 50 50
1165 520 50 50
1215 520 50 50
15 220 50 50
65 220 50 50
115 220 50 50
165 220 50 50
215 220 50 50
265 220 50 50
315 220 50 50
965 220 50 50
1015 220 50 50
1065 220 50 50
1165 220 50 50
-100 0 10 820
-100 820 1280 30
1370 0 10 820
